UBIGEO,IDDD,DEPARTAMENTO,IDPP,PROVINCIA,IDDIS,DISTRITO,IDCCPP,CCPP,CATEGORIA,CATEGORIA 2,CAPITAL,Viviendas,Habitantes,Latitud (coord X),Longitud (coord Y),CLASIFICACION INEI,ubigeo,ccpp_code,department,province,district,name,population,dwellings,is_capital,area_type,lat,lon,coord_swapped,district_polygon_available,point_outside_declared_district,natural_region,demand_id,design_weight,sampling_stratum,inclusion_prob,n_points_district,direct_pop_coverage,high_variance_district,t_min,nearest_facility,km_red,unreachable,altitude_m,natural_region_proxy
0101100001,01,AMAZONAS,01,CHACHAPOYAS,10,LEIMEBAMBA,0001,LEIMEBAMBA,04,PUEBLO,1,434,1229,-77.80368,-6.7077399,URBANO,010110,0101100001,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,LEIMEBAMBA,1229,434,True,URBANO,-6.7077399,-77.80368,False,True,False,sierra,CP000010,1229.0,certeza,1.0,3,0.31368044920877997,False,92.03833,00009066,79.5386962890625,False,2210.0,selva
0101010001,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,0001,CHACHAPOYAS,01,CIUDAD,1,7050,23202,-77.87241,-6.2292998,URBANO,010101,0101010001,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CHACHAPOYAS,23202,7050,True,URBANO,-6.2292998,-77.87241,False,True,False,sierra,CP000017,23202.0,certeza,1.0,2,0.9580872940496346,False,0.38,00009066,0.1665000021457672,False,2339.0,selva
0101020001,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,0001,ASUNCION,04,PUEBLO,1,61,150,-77.71227736,-6.0318906,URBANO,010102,0101020001,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION,150,61,True,URBANO,-6.0318906,-77.71227736,False,True,False,sierra,CP000042,150.0,certeza,1.0,2,0.5190311418685121,True,70.845,00004838,79.29450225830078,False,2786.0,selva
0101030001,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,0001,BALSAS,04,PUEBLO,1,70,259,-78.01871,-6.83553,URBANO,010103,0101030001,AMAZONAS,CHACHAPOYAS,BALSAS,BALSAS,259,70,True,URBANO,-6.83553,-78.01871,False,True,False,sierra,CP000049,259.0,certeza,1.0,2,0.18447293447293447,True,84.49,00030220,57.711700439453125,False,844.0,selva
0101040001,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,0001,CHETO,04,PUEBLO,1,120,378,-77.70038,-6.2555774,URBANO,010104,0101040001,AMAZONAS,CHACHAPOYAS,CHETO,CHETO,378,120,True,URBANO,-6.2555774,-77.70038,False,True,False,sierra,CP000073,378.0,certeza,1.0,2,0.6494845360824743,False,31.79,00004838,35.028099060058594,False,2127.0,selva
0101050001,01,AMAZONAS,01,CHACHAPOYAS,05,CHILIQUIN,0001,CHILIQUIN,04,PUEBLO,1,29,82,-77.73922,-6.07789,URBANO,010105,0101050001,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CHILIQUIN,82,29,True,URBANO,-6.07789,-77.73922,False,True,False,sierra,CP000085,82.0,certeza,1.0,3,0.0963572267920094,False,98.82333,00004838,90.84639739990234,False,2627.0,selva
0101060001,01,AMAZONAS,01,CHACHAPOYAS,06,CHUQUIBAMBA,0001,CHUQUIBAMBA,04,PUEBLO,1,184,623,-77.85472,-6.9347,URBANO,010106,0101060001,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUQUIBAMBA,623,184,True,URBANO,-6.9347,-77.85472,False,True,False,sierra,CP000122,623.0,certeza,1.0,2,0.3003857280617165,True,139.22833,00005366,98.76689910888672,False,2780.0,selva
0101070001,01,AMAZONAS,01,CHACHAPOYAS,07,GRANADA,0001,GRANADA,04,PUEBLO,1,45,143,-77.63445,-6.0999567,URBANO,010107,0101070001,AMAZONAS,CHACHAPOYAS,GRANADA,GRANADA,143,45,True,URBANO,-6.0999567,-77.63445,False,True,False,sierra,CP000145,143.0,certeza,1.0,2,0.33568075117370894,True,60.02833,00004838,66.55729675292969,False,2943.0,selva
0101080001,01,AMAZONAS,01,CHACHAPOYAS,08,HUANCAS,0001,HUANCAS,04,PUEBLO,1,135,803,-77.8647,-6.1737244,URBANO,010108,0101080001,AMAZONAS,CHACHAPOYAS,HUANCAS,HUANCAS,803,135,True,URBANO,-6.1737244,-77.8647,False,True,False,sierra,CP000154,803.0,certeza,1.0,2,0.7056239015817223,False,12.066667,00009066,7.829100131988525,False,2587.0,selva
0101090001,01,AMAZONAS,01,CHACHAPOYAS,09,LA JALCA,0001,LA JALCA,04,PUEBLO,1,655,2351,-77.81513,-6.4844901,URBANO,010109,0101090001,AMAZONAS,CHACHAPOYAS,LA JALCA,LA JALCA,2351,655,True,URBANO,-6.4844901,-77.81513,False,True,False,sierra,CP000156,2351.0,certeza,1.0,2,0.4269887395568471,True,81.151665,00009066,69.21369934082031,False,2860.0,selva
0101150001,01,AMAZONAS,01,CHACHAPOYAS,15,MONTEVIDEO,0001,MONTEVIDEO,04,PUEBLO,1,205,619,-77.82315,-6.61825,URBANO,010115,0101150001,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MONTEVIDEO,619,205,True,URBANO,-6.61825,-77.82315,False,True,False,sierra,CP000232,619.0,certeza,1.0,2,0.8958031837916064,False,73.16167,00009066,67.16349792480469,False,2439.0,selva
0101160001,01,AMAZONAS,01,CHACHAPOYAS,16,OLLEROS,0001,OLLEROS,04,PUEBLO,1,38,104,-77.64778,-6.0535,URBANO,010116,0101160001,AMAZONAS,CHACHAPOYAS,OLLEROS,OLLEROS,104,38,True,URBANO,-6.0535,-77.64778,False,True,False,sierra,CP000239,104.0,certeza,1.0,2,0.29295774647887324,True,70.503334,00004838,76.82009887695312,False,3044.0,selva
0101170001,01,AMAZONAS,01,CHACHAPOYAS,17,QUINJALCA,0001,QUINJALCA,04,PUEBLO,1,46,143,-77.67858,-6.09158,URBANO,010117,0101170001,AMAZONAS,CHACHAPOYAS,QUINJALCA,QUINJALCA,143,46,True,URBANO,-6.09158,-77.67858,False,True,False,sierra,CP000247,143.0,certeza,1.0,2,0.15310492505353318,True,70.80334,00004838,74.42259979248047,False,3148.0,selva
0102020001,01,AMAZONAS,02,BAGUA,02,ARAMANGO,0001,ARAMANGO,04,PUEBLO,1,320,1131,-78.438,-5.41655,URBANO,010202,0102020001,AMAZONAS,BAGUA,ARAMANGO,ARAMANGO,1131,320,True,URBANO,-5.41655,-78.438,False,True,False,selva,CP000275,1131.0,certeza,1.0,4,0.09515396264512872,False,32.43,00009068,40.32419967651367,False,494.0,selva
0101180001,01,AMAZONAS,01,CHACHAPOYAS,18,SAN FRANCISCO DE DAGUAS,0001,DAGUAS,04,PUEBLO,1,13,50,-77.73925,-6.2335933,URBANO,010118,0101180001,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,DAGUAS,50,13,True,URBANO,-6.2335933,-77.73925,False,True,False,sierra,CP000351,50.0,certeza,1.0,3,0.16722408026755853,False,25.528334,00004838,30.311399459838867,False,2272.0,selva
0101190001,01,AMAZONAS,01,CHACHAPOYAS,19,SAN ISIDRO DE MAINO,0001,MAINO,04,PUEBLO,1,142,473,-77.88016,-6.33692,URBANO,010119,0101190001,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MAINO,473,142,True,URBANO,-6.33692,-77.88016,False,True,False,sierra,CP000360,473.0,certeza,1.0,2,0.6895043731778425,False,33.97167,00004838,27.127899169921875,False,2338.0,selva
