orden,COD_IPRESS,poblacion_marginal,poblacion_cubierta_acumulada,NOMBRE,CATEGORIA,DEPARTAMENTO,PROVINCIA,DISTRITO,lat,lon
1,00000845,100512.0,23675346.984126985,CENTRO DE SALUD PACHAS,I-3,HUANUCO,DOS DE MAYO,PACHAS,-9.70617423,-76.77089273
2,00004280,64512.799999999996,23739859.784126986,PUERTO CIRUELO,I-3,CAJAMARCA,SAN IGNACIO,HUARANGO,-5.28629,-78.80523
3,00002272,60412.33333333333,23800272.117460318,E.S.  LIMON DE PORCUYA,I-3,PIURA,HUANCABAMBA,HUARMACA,-5.88983008,-79.53790299
4,00033982,53535.5,23853807.617460318,CENTRO DE SALUD MENTAL COMUNITARIO HUANCABAMBA,I-3,PIURA,HUANCABAMBA,HUANCABAMBA,-5.2389913,-79.4506989
5,00001911,49599.25,23903406.867460318,CENTRO DE SALUD AYABACA,I-4,PIURA,AYABACA,AYABACA,-4.63578921,-79.71413952
6,00001346,48932.0,23952338.867460318,LA PAMPA,I-3,AREQUIPA,CAMANA,SAMUEL PASTOR,-16.61372775,-72.69956985
7,00004561,48266.0,24000604.867460318,SAN MIGUEL,I-4,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,-6.99998,-78.85382
8,00002988,47809.2,24048414.067460317,HUACULLANI,I-3,PUNO,CHUCUITO,HUACULLANI,-16.62949442,-69.32286676
9,00000778,43275.5,24091689.567460317,PANAO,I-3,HUANUCO,PACHITEA,PANAO,-9.89662647,-75.99533086
10,00002386,43037.0,24134726.567460317,COMBAPATA CANCHIS,I-4,CUSCO,CANCHIS,COMBAPATA,-14.10087739,-71.43343619
11,00002520,41194.0,24175920.567460317,HUANCARANI,I-4,CUSCO,PAUCARTAMBO,HUANCARANI,-13.5042252,-71.65084022
12,00001932,39035.28571428572,24214955.853174604,CENTRO DE SALUD LAS LOMAS,I-3,PIURA,PIURA,LAS LOMAS,-4.66015448,-80.24375229
13,00002182,37226.0,24252181.853174604,ESTABLECIMIENTO DE SALUD MORROPON,I-4,PIURA,MORROPON,MORROPON,-5.18913,-79.96751833
14,00000952,32284.0,24284465.853174604,AUCAYACU,I-4,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,-8.92976333,-76.11270667
15,00003989,31198.333333333332,24315664.186507937,PAUCARBAMBA,I-4,HUANCAVELICA,CHURCAMPA,PAUCARBAMBA,-12.55611833,-74.53406
16,00005321,30431.0,24346095.186507937,CALLANCAS,I-3,LA LIBERTAD,OTUZCO,CHARAT,-7.76517667,-78.480955
17,00000797,29324.0,24375419.186507937,MARGOS,I-3,HUANUCO,HUANUCO,MARGOS,-10.00156167,-76.524225
18,00003112,28769.0,24404188.186507937,ANANEA,I-3,PUNO,SAN ANTONIO DE PUTINA,ANANEA,-14.67765,-69.54115833
19,00004314,28077.5,24432265.686507937,CHURUYACU,I-3,CAJAMARCA,SAN IGNACIO,TABACONAS,-5.41985153,-79.08168422
20,00004964,27828.0,24460093.686507937,CHIPLE,I-3,CAJAMARCA,CUTERVO,CALLAYUC,-6.04762726,-78.89922906
21,00001218,27640.0,24487733.686507937,FREDY VALLEJO ORE,I-4,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,-10.49176147,-76.51557043
22,00003329,26836.0,24514569.686507937,SAN JUAN DEL ORO,I-3,PUNO,SANDIA,SAN JUAN DEL ORO,-14.21937094,-69.15375588
23,00005657,25603.0,24540172.686507937,CHURIN,I-3,LIMA,OYON,PACHANGARA,-10.81518426,-76.87652256
24,00002540,24659.0,24564831.686507937,URUBAMBA,I-4,CUSCO,URUBAMBA,URUBAMBA,-13.30926003,-72.11568811
25,00001108,23740.0,24588571.686507937,PAUCARTAMBO,I-4,PASCO,PASCO,PAUCARTAMBO,-10.77332713,-75.81087888
26,00000053,23549.0,24612120.686507937,ANGAMOS,I-3,LORETO,REQUENA,YAQUERANA,-5.14818528,-72.87507715
27,00004932,22330.0,24634450.686507937,POMACOCHAS,I-4,AMAZONAS,BONGARA,FLORIDA,-5.82481484,-77.96734866
28,00002238,22280.5,24656731.186507937,ESTABLECIMIENTO DE SALUD CANCHAQUE.,I-4,PIURA,HUANCABAMBA,CANCHAQUE,-5.37528402,-79.6032604
29,00001856,21998.0,24678729.186507937,CENTRO DE SALUD SAN LUIS,I-3,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,-9.09554831,-77.33039351
30,00004478,21753.0,24700482.186507937,MIGUEL IGLESIAS,I-3,CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,-6.64978414,-78.23179707
31,00000892,21452.5,24721934.686507937,PU?OS,I-3,HUANUCO,HUAMALIES,PU?OS,-9.49977679,-76.88179697
32,00005426,21233.666666666668,24743168.353174604,CAMPO VERDE,I-3,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,-8.47209435,-74.80601039
33,00005469,20575.0,24763743.353174604,MASISEA,I-3,UCAYALI,CORONEL PORTILLO,MASISEA,-8.60682974,-74.30119009
34,00005395,20569.5,24784312.853174604,AGUAYTIA,I-4,UCAYALI,PADRE ABAD,PADRE ABAD,-9.05235673,-75.51247932
35,00003171,20515.0,24804827.853174604,NU?OA,I-3,PUNO,MELGAR,NU?OA,-14.47386931,-70.63486442
36,00004974,20485.0,24825312.853174604,CUJILLO,I-3,CAJAMARCA,CUTERVO,CUJILLO,-6.107504,-78.596872
37,00000161,20096.0,24845408.853174604,CENTRO DE SALUD I-4 JUANCITO DE SARAYACU,I-4,LORETO,UCAYALI,SARAYACU,-6.03194009,-74.85340813
38,00002207,19987.2,24865396.053174604,ESTABLECIMIENTO DE SALUD PACAIPAMPA.,I-4,PIURA,AYABACA,PACAIPAMPA,-4.99439148,-79.66840617
39,00004489,19714.0,24885110.053174604,ICHOCAN,I-3,CAJAMARCA,SAN MARCOS,ICHOCAN,-7.36923,-78.13314
40,00002406,19691.0,24904801.053174604,LIVITACA,I-4,CUSCO,CHUMBIVILCAS,LIVITACA,-14.31234,-71.68845333
41,00001695,19659.0,24924460.053174604,CENTRO DE SALUD PALLASCA,I-3,ANCASH,PALLASCA,PALLASCA,-8.25103456,-77.99988877
42,00002640,19564.0,24944024.053174604,HUANCARAMA,I-4,APURIMAC,ANDAHUAYLAS,HUANCARAMA,-13.64197833,-73.09047
43,00002514,19334.0,24963358.053174604,CHALLABAMBA,I-3,CUSCO,PAUCARTAMBO,CHALLABAMBA,-13.21446901,-71.64780929
44,00001955,19255.2,24982613.253174603,CENTRO DE SALUD SAPILLICA,I-3,PIURA,AYABACA,SAPILLICA,-4.77551069,-79.98171621
45,00007239,19060.0,25001673.253174603,VIJUS,I-3,LA LIBERTAD,PATAZ,PATAZ,-7.7201304,-77.66352098
46,00005070,18846.0,25020519.253174603,IMAZA,I-3,AMAZONAS,BAGUA,IMAZA,-5.05830398,-78.33673233
47,00002611,17929.0,25038448.253174603,CHALHUAHUACHO,I-4,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,-14.12031722,-72.25166115
48,00004556,17843.0,25056291.253174603,LA FLORIDA,I-3,CAJAMARCA,SAN MIGUEL,LA FLORIDA,-6.87032866,-79.12444358
49,00003847,17764.0,25074055.253174603,CENTRO DE SALUD VILCASHUAMAN,I-4,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,-13.65732406,-73.95321237
50,00003808,17634.0,25091689.253174603,CENTRO DE SALUD QUEROBAMBA,I-4,AYACUCHO,SUCRE,QUEROBAMBA,-14.00814,-73.84390667
