department,poblacion,n_puntos,poblacion_sin_ruta,t_medio_min,t_mediano_min,t_p90_min,km_medio_red,gini_tiempo,pob_hasta_30min,share_hasta_30min,share_banda_0_30min,pob_hasta_60min,share_hasta_60min,share_banda_30_60min,pob_hasta_120min,share_hasta_120min,share_banda_60_120min,share_mas_120min,pob_mas_120min
AMAZONAS,381554.0,207,17601.5,47.743868780764984,37.87801224759902,100.34464990310705,43.40269503612835,0.5022960079662893,149475.5,0.39175450919135957,0.39175450919135957,235875.5,0.618196900045603,0.22644239085424345,333495.5,0.874045351378835,0.255848451333232,0.125954648621165,48058.49999999999
ANCASH,1067944.0,398,0.0,33.510454104397056,14.055824966699298,106.9781378839799,26.648299579295838,0.6259971881071111,713086.1666666667,0.6677186881209752,0.6677186881209752,833837.5,0.7807876630235293,0.11306897490255408,1003171.6666666667,0.9393485675903107,0.1585609045667814,0.06065143240968929,64772.33333333322
APURIMAC,410252.0,204,0.0,41.54003750555451,31.173282703536188,96.05659118406987,35.79679565420927,0.503962621220222,196569.5,0.4791433070405507,0.4791433070405507,283864.0,0.6919259382038357,0.21278263116328505,398562.0,0.9715053186821758,0.2795793804783401,0.028494681317824178,11690.000000000004
AREQUIPA,1161636.0,261,0.0,26.804042679094557,4.079317982872157,82.11794760405496,23.802793886804697,0.74682452788251,923208.0,0.7947480966498972,0.7947480966498972,980319.0,0.8439123787485925,0.04916428209869528,1069413.0,0.9206093819406423,0.07669700319204986,0.07939061805935765,92222.99999999999
AYACUCHO,667560.0,298,0.0,41.664462461407986,20.120880250465998,108.80297209484742,36.76822628421085,0.6042668484125358,369175.50000000006,0.5530222002516628,0.5530222002516628,471272.1666666667,0.7059622605708351,0.1529400603191723,619712.0,0.9283240457786566,0.22236178520782146,0.07167595422134343,47848.00000000002
CAJAMARCA,1393081.0,390,0.0,53.556526826616086,42.18427868351713,127.9144658446836,43.66490331610825,0.5185561796596156,611836.4166666666,0.4391965841660798,0.4391965841660798,858698.8166666667,0.6164026475608142,0.17720606339473438,1234426.5,0.8861125088921606,0.26970986133134645,0.11388749110783936,158654.49999999997
CALLAO,928399.0,7,0.0,2.427067470954185,2.6424344530789807,2.843344011864973,1.2646110163302384,0.15193693830890465,928399.0,1.0,1.0,928399.0,1.0,0.0,928399.0,1.0,0.0,0.0,0.0
CUSCO,1197345.0,300,4231.777777777777,42.1939846604668,28.40723406876463,113.24052645515475,36.17897347192242,0.5826848450183905,601871.0555555555,0.5026713733765585,0.5026713733765585,864237.7222222222,0.7217950734518641,0.21912370007530557,1094948.388888889,0.9144802783566048,0.19268520490474073,0.08551972164339516,102396.61111111098
HUANCAVELICA,455518.0,232,0.0,53.33679560231511,39.71585492667504,123.68160612018292,48.84013834917273,0.4452175250123166,169313.4166666667,0.37169423967146564,0.37169423967146564,289558.0,0.6356675257618799,0.26397328609041426,407749.0,0.8951325743439337,0.25946504858205377,0.10486742565606633,47769.00000000002
HUANUCO,766098.0,222,0.0,69.83157462051486,63.533106376430176,152.499314800857,56.428493459737346,0.49413642207209674,269295.75,0.35151605930311786,0.35151605930311786,367520.19999999995,0.4797300084323415,0.12821394912922363,581010.25,0.7584019929565147,0.2786719845241732,0.24159800704348533,185087.75000000003
ICA,717018.0,116,0.0,8.68212921399502,4.651162607231977,20.77929560598248,7.273514258696623,0.6058370073480371,679361.0,0.9474810953142041,0.9474810953142041,712004.0,0.9930071490534408,0.04552605373923668,714588.0,0.996610963741496,0.0036038146880552624,0.0033890362585039524,2429.999999999987
JUNIN,1196806.0,323,0.0,19.129115727841,7.644276466621504,50.140020841586946,14.773391577322782,0.6431008105987677,928292.3714285713,0.7756414752504344,0.7756414752504344,1125400.7142857143,0.9403367916652443,0.16469531641480994,1174524.0,0.9813821120549195,0.04104532038967523,0.018617887945080458,22281.999999999964
LA LIBERTAD,1622051.0,250,101.0,18.747310406191573,2.1546823578033876,62.317972013132504,14.116449134804014,0.7395225379904065,1302772.1666666667,0.8031635051343433,0.8031635051343433,1456031.5,0.8976484093286833,0.09448490419433997,1582276.6666666665,0.9754789871999503,0.07783057787126701,0.024521012800049702,39774.333333333416
LAMBAYEQUE,1120938.0,128,0.0,17.740808323452715,4.070555407594642,51.04245221818303,18.225813366305346,0.6623739069100663,919236.142857143,0.8200597560767348,0.8200597560767348,1027409.7499999999,0.9165625128240812,0.09650275674734643,1102757.3333333333,0.9837808454467002,0.067218332622619,0.016219154553299808,18180.66666666678
LIMA,8452373.0,396,0.0,5.630402063697861,2.957979155247775,6.440144657355282,4.004088137714406,0.6395625162502856,8213876.0,0.9717834269737031,0.9717834269737031,8337097.0,0.9863616998445288,0.014578272870825693,8397853.0,0.9935497404101783,0.007188040565649478,0.006450259589821705,54520.00000000006
LORETO,903417.0,163,312031.0,215.32282460961784,3.5935599817448582,126.79462370507203,27.915434734801746,0.9263573103807223,462427.9999999999,0.5118655061837445,0.5118655061837445,487065.00000000006,0.5391364120887697,0.027270905905025233,515762.66666666674,0.5709021046390169,0.03176569255024719,0.4290978953609831,387654.33333333326
MADRE DE DIOS,109912.0,26,1168.0,109.55691748917572,2.6433334350585938,379.23807461228836,53.52084211367419,0.6754945634104763,61112.99999999999,0.5560175413057719,0.5560175413057719,61956.99999999999,0.5636964116747943,0.0076788703690224835,71483.0,0.6503657471431691,0.08666933546837474,0.3496342528568309,38429.0
MOQUEGUA,162464.0,52,0.0,36.49799307892002,3.8466833567645353,146.24447711021796,26.897034393806543,0.7429657560373931,123638.0,0.7610178254874926,0.7610178254874926,126481.0,0.7785170868623202,0.0174992613748276,131573.0,0.8098594150088635,0.03134232814654325,0.1901405849911365,30891.0
PASCO,284070.0,87,0.0,56.045569195502765,29.965536525551702,152.7100944063104,41.097751910769006,0.5971304033383105,138070.0,0.48604217270391104,0.48604217270391104,184970.0,0.6511423240750519,0.16510015137114087,242370.5,0.853206956031964,0.20206463195691204,0.14679304396803605,41699.5
PIURA,1815355.0,274,0.0,32.52004485726511,5.597646507403771,118.84928138772615,33.643471856047306,0.7048847281817728,1280448.7142857143,0.7053434255480137,0.7053434255480137,1472808.3142857142,0.8113059507841244,0.10596252523611072,1635284.3,0.9008068945192539,0.08950094373512951,0.09919310548074611,180070.69999999987
PUNO,1288331.0,304,0.0,33.49077177042822,25.99354452349739,81.86499767670341,30.175835704915226,0.5448932816249954,711289.4333333332,0.5521014656430167,0.5521014656430167,1047854.8,0.813342844346678,0.2612413787036614,1250239.5,0.9704334522727467,0.15709060792606866,0.02956654772725331,38091.499999999985
SAN MARTIN,739881.0,216,0.0,30.566922051032435,21.24751523511422,69.05721564398873,27.53494445778803,0.5443258160922644,427079.6666666667,0.5772275091084468,0.5772275091084468,630172.6666666666,0.8517216507339243,0.2744941416254775,709903.0,0.9594826735650733,0.10776102283114908,0.04051732643492667,29977.999999999978
TACNA,289506.0,63,0.0,17.371499258120487,4.5612133744183385,48.31260390207917,13.571416304115072,0.7099869018426676,253857.0,0.876862655696255,0.876862655696255,264108.0,0.9122712482642846,0.03540859256802964,274058.0,0.9466401387190594,0.03436889045477476,0.05335986128094061,15447.999999999993
TUMBES,203316.0,34,0.0,11.925152688670893,6.595259862406573,27.419280342514323,11.92530445585168,0.5536856234649092,189458.0,0.9318400912864703,0.9318400912864703,196645.0,0.9671890062759448,0.03534891498947457,203316.0,1.0,0.03281099372405516,0.0,0.0
UCAYALI,441993.0,49,34766.0,27.61136911287539,4.079419440097471,90.33171363612679,20.88639435645132,0.7010463465471766,300206.1666666667,0.6792102288196118,0.6792102288196118,331248.3333333334,0.749442487399876,0.07023225858026416,375875.5,0.8504105268635476,0.10096803946367161,0.14958947313645243,66117.50000000001
