department,province,district,ubigeo,poblacion,n_puntos,poblacion_sin_ruta,t_medio_min,t_mediano_min,t_p90_min,km_medio_red,gini_tiempo,pob_hasta_30min,share_hasta_30min,share_banda_0_30min,pob_hasta_60min,share_hasta_60min,share_banda_30_60min,pob_hasta_120min,share_hasta_120min,share_banda_60_120min,share_mas_120min,pob_mas_120min
AMAZONAS,BAGUA,ARAMANGO,010202,11886.0,4,0.0,41.855840695821016,33.12786106924308,51.44092238080347,46.76700412330454,0.15778412276558917,1526.0,0.12838633686690223,0.12838633686690223,11886.0,1.0,0.8716136631330977,11886.0,1.0,0.0,0.0,0.0
AMAZONAS,BAGUA,BAGUA,010201,24725.0,3,0.0,4.611437070246774,0.6683333516120911,10.353752140217281,3.9972033132412315,0.738639982131706,24725.0,1.0,1.0,24725.0,1.0,0.0,24725.0,1.0,0.0,0.0,0.0
AMAZONAS,BAGUA,COPALLIN,010203,6347.0,2,0.0,19.50288234426409,19.303333282470703,19.752140409594844,14.124484700632223,0.007236557154674972,6347.0,1.0,1.0,6347.0,1.0,0.0,6347.0,1.0,0.0,0.0,0.0
AMAZONAS,BAGUA,EL PARCO,010204,1292.0,2,0.0,8.650783190417217,7.161387598825856,9.544277794423374,7.640184761939034,0.08674033139102744,1292.0,1.0,1.0,1292.0,1.0,0.0,1292.0,1.0,0.0,0.0,0.0
AMAZONAS,BAGUA,IMAZA,010205,22858.0,7,0.0,71.35887826493494,74.97190570165723,84.58333587646484,94.43026415512561,0.11185798635233368,0.0,0.0,0.0,4012.0,0.17551841805932278,0.17551841805932278,22858.0,1.0,0.8244815819406772,0.0,0.0
AMAZONAS,BAGUA,LA PECA,010206,7379.0,3,0.0,20.77599289740694,16.434090086042314,24.483459097644005,19.086020325431818,0.13296473525867714,7379.0,1.0,1.0,7379.0,1.0,0.0,7379.0,1.0,0.0,0.0,0.0
AMAZONAS,BONGARA,CHISQUILLA,010302,346.0,2,0.0,107.64635961455417,102.72373025394181,110.32341426367898,112.82770392798275,0.02531455959465545,0.0,0.0,0.0,0.0,0.0,0.0,346.0,1.0,1.0,0.0,0.0
AMAZONAS,BONGARA,CHURUJA,010303,272.0,2,0.0,55.243479784797216,55.035644039031,55.233795067571826,40.37903841804056,0.0006577535548708546,0.0,0.0,0.0,272.0,1.0,1.0,272.0,1.0,0.0,0.0,0.0
AMAZONAS,BONGARA,COROSHA,010304,721.0,2,0.0,109.36608662387039,108.51333618164062,110.22872044372558,127.38824191999501,0.006715766943343193,0.0,0.0,0.0,0.0,0.0,0.0,721.0,1.0,1.0,0.0,0.0
AMAZONAS,BONGARA,CUISPES,010305,782.0,2,0.0,76.61032077174663,76.34500122070312,76.79254493713378,81.93837045342721,0.0018511921573187706,0.0,0.0,0.0,0.0,0.0,0.0,782.0,1.0,1.0,0.0,0.0
AMAZONAS,BONGARA,FLORIDA,010306,6293.0,2,0.0,85.46161419080282,84.62858444662655,85.93771640104406,102.61247448608263,0.00533289728709152,0.0,0.0,0.0,0.0,0.0,0.0,6293.0,1.0,1.0,0.0,0.0
AMAZONAS,BONGARA,JAZAN,010307,8659.0,3,0.0,66.80322914903303,64.41122543296828,69.32930550031631,65.49377173906056,0.03006199142035415,0.0,0.0,0.0,0.0,0.0,0.0,8659.0,1.0,1.0,0.0,0.0
AMAZONAS,BONGARA,JUMBILLA,010301,1573.0,2,0.0,100.07007384497273,98.01000213623047,100.82471266401575,105.40009730315406,0.01812588283649086,0.0,0.0,0.0,0.0,0.0,0.0,1573.0,1.0,1.0,0.0,0.0
AMAZONAS,BONGARA,RECTA,010308,245.0,2,0.0,93.10782467589087,90.79000091552734,95.71447100639344,99.22464580925144,0.0167653293828961,0.0,0.0,0.0,0.0,0.0,0.0,245.0,1.0,1.0,0.0,0.0
