department,province,district,ubigeo,poblacion,sfca_index_per_10k,t_medio_min,n_facilities_in_catchment
AMAZONAS,BAGUA,ARAMANGO,010202,11886.0,3.6343035296662585,41.85584089445565,6.0
AMAZONAS,BAGUA,BAGUA,010201,24725.0,29.297369033993196,4.611437065464106,13.0
AMAZONAS,BAGUA,COPALLIN,010203,6347.0,23.21827305950668,19.50288196581062,6.0
AMAZONAS,BAGUA,EL PARCO,010204,1292.0,24.22689844731859,8.650783007198143,13.0
AMAZONAS,BAGUA,IMAZA,010205,22858.0,0.7882735144469083,71.35887820649225,0.0
AMAZONAS,BAGUA,LA PECA,010206,7379.0,11.982598086080262,20.77599276040114,6.0
AMAZONAS,BONGARA,CHISQUILLA,010302,346.0,0.0,107.64636072254335,0.0
AMAZONAS,BONGARA,CHURUJA,010303,272.0,3.5476056130021396,55.24347994117647,2.0
AMAZONAS,BONGARA,COROSHA,010304,721.0,0.0,109.36608690152565,0.0
AMAZONAS,BONGARA,CUISPES,010305,782.0,0.0,76.61031969309464,0.0
AMAZONAS,BONGARA,FLORIDA,010306,6293.0,0.0,85.4616133147942,0.0
AMAZONAS,BONGARA,JAZAN,010307,8659.0,0.0,66.80322710243676,0.0
AMAZONAS,BONGARA,JUMBILLA,010301,1573.0,0.0,100.07007196948507,0.0
AMAZONAS,BONGARA,RECTA,010308,245.0,0.0,93.10782400000001,0.0
AMAZONAS,BONGARA,SAN CARLOS,010309,367.0,0.0,73.38300817438692,0.0
AMAZONAS,BONGARA,SHIPASBAMBA,010310,1350.0,2.666049152893245,93.07971177333333,2.5
AMAZONAS,BONGARA,VALERA,010311,1262.0,0.5592363677889046,58.801307448494455,1.0
AMAZONAS,BONGARA,YAMBRASBAMBA,010312,6083.0,0.0,134.6294985878678,0.0
AMAZONAS,CHACHAPOYAS,ASUNCION,010102,289.0,0.0,78.2022219031142,0.0
AMAZONAS,CHACHAPOYAS,BALSAS,010103,1404.0,0.0,146.87509665242166,0.0
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,24217.0,49.21456633198703,1.2556961223520666,2.0
AMAZONAS,CHACHAPOYAS,CHETO,010104,582.0,23.816907025224463,31.201717979381442,3.0
AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,851.0,0.0,90.77659632197415,0.0
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,2074.0,0.0,142.20635708293153,0.0
AMAZONAS,CHACHAPOYAS,GRANADA,010107,426.0,0.0,65.22330984741785,0.0
AMAZONAS,CHACHAPOYAS,HUANCAS,010108,1138.0,43.65169799783616,11.208560673110721,2.0
AMAZONAS,CHACHAPOYAS,LA JALCA,010109,5506.0,0.0,82.08280829822012,0.0
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,3918.0,0.0,92.66588551301685,0.0
AMAZONAS,CHACHAPOYAS,LEVANTO,010111,1022.0,29.994925985989937,24.603028200587083,2.0
AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,900.0,9.178115365573388,48.09616487555555,1.0
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,010113,1132.0,0.0,75.19459979240283,0.0
