demand_id,sfca_index,sfca_index_per_10k,n_facilities_in_catchment,ubigeo,department,province,district,area_type,natural_region,design_weight,t_min
CP000010,0.0,0.0,0,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,URBANO,sierra,1229.0,92.03833
CP000017,0.004987573290267296,49.87573290267296,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,URBANO,sierra,23202.0,0.38
CP000042,0.0,0.0,0,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,URBANO,sierra,150.0,70.845
CP000049,0.0,0.0,0,010103,AMAZONAS,CHACHAPOYAS,BALSAS,URBANO,sierra,259.0,84.49
CP000073,0.0023049082908179193,23.049082908179194,3,010104,AMAZONAS,CHACHAPOYAS,CHETO,URBANO,sierra,378.0,31.79
CP000085,0.0,0.0,0,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,URBANO,sierra,82.0,98.82333
CP000122,0.0,0.0,0,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,URBANO,sierra,623.0,139.22833
CP000145,0.0,0.0,0,010107,AMAZONAS,CHACHAPOYAS,GRANADA,URBANO,sierra,143.0,60.02833
CP000154,0.004288350366910353,42.883503669103526,2,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,URBANO,sierra,803.0,12.066667
CP000156,0.0,0.0,0,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,URBANO,sierra,2351.0,81.151665
CP000232,0.0,0.0,0,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,URBANO,sierra,619.0,73.16167
CP000239,0.0,0.0,0,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,URBANO,sierra,104.0,70.503334
CP000247,0.0,0.0,0,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,URBANO,sierra,143.0,70.80334
CP000275,0.00053264921819687,5.326492181968701,6,010202,AMAZONAS,BAGUA,ARAMANGO,URBANO,selva,1131.0,32.43
CP000351,0.00313915303650464,31.3915303650464,3,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,URBANO,sierra,50.0,25.528334
CP000360,0.0018936302324629331,18.93630232462933,2,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,URBANO,sierra,473.0,33.97167
CP000378,0.0011902455085037534,11.902455085037534,2,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,URBANO,sierra,694.0,40.388332
CP000398,0.0,0.0,0,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,URBANO,sierra,249.0,71.85
CP000423,0.003223502347728048,32.23502347728048,3,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,URBANO,sierra,298.0,24.008333
CP000435,0.003909394444600147,39.093944446001466,3,010121,AMAZONAS,CHACHAPOYAS,SONCHE,URBANO,sierra,102.0,18.653334
CP000441,0.0032842032794305385,32.84203279430538,13,010201,AMAZONAS,BAGUA,BAGUA,URBANO,selva,21000.0,0.66833335
CP000468,0.001418149598626468,14.181495986264679,6,010206,AMAZONAS,BAGUA,LA PECA,URBANO,sierra,3263.0,16.918333
CP000518,0.0030221661648916175,30.221661648916175,2,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,URBANO,sierra,485.0,24.42
CP000535,0.0029415430750978832,29.41543075097883,3,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,URBANO,sierra,658.0,30.101667
CP000577,0.001522063300094362,15.22063300094362,1,010401,AMAZONAS,CONDORCANQUI,NIEVA,URBANO,selva,2059.0,4.655
CP000613,0.00035341494677893084,3.5341494677893084,2,010303,AMAZONAS,BONGARA,CHURUJA,URBANO,sierra,248.0,55.283333
CP000619,0.0,0.0,0,010304,AMAZONAS,BONGARA,COROSHA,URBANO,sierra,100.0,114.66167
CP000638,0.0,0.0,0,010305,AMAZONAS,BONGARA,CUISPES,URBANO,sierra,364.0,76.915
CP000672,0.002333987630132919,23.33987630132919,6,010203,AMAZONAS,BAGUA,COPALLIN,URBANO,sierra,1858.0,19.985
