ubigeo,department,province,district,poblacion,n_puntos_muestra,t_medio_min,t_mediano_min,t_p90_min,share_hasta_60min,pob_fuera_umbral,pob_mas_120min,altitud_mediana_m,gini_tiempo,high_variance,rank_por_poblacion,rank_por_tiempo
200201,PIURA,AYABACA,AYABACA,38800.0,9,169.18148664941492,163.69506906703845,191.485861233914,0.0,38800.0,38800.0,1857.0,0.08255170686294955,False,1.0,103.0
200304,PIURA,HUANCABAMBA,HUARMACA,37582.0,9,141.30786291979834,134.2516632080078,161.90865842250398,0.0,37582.0,33157.5,2061.0,0.09438869536938532,False,2.0,203.0
140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,36514.99999999999,7,70.86677412276582,69.42250061035156,75.14948789348892,0.0,36514.99999999999,0.0,150.0,0.05760366796738714,False,3.0,729.0
060901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,32313.0,6,158.94446908690318,150.3950465697538,184.3450342866085,0.0,32313.0,32313.0,1365.5,0.07242688991494672,False,4.0,131.0
100604,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,32284.0,5,74.67476456866302,69.12595442321403,89.13625479388091,0.0,32284.0,0.0,575.0,0.06887771990765534,False,5.0,685.0
200301,PIURA,HUANCABAMBA,HUANCABAMBA,30780.0,7,151.67445667308982,154.15013017893813,165.33561654692716,0.0,30780.0,30780.0,2642.0,0.0534338264651375,False,6.0,161.0
080902,CUSCO,LA CONVENCION,ECHARATE,43101.0,11,90.82399350383425,80.21538874239491,178.1447133846771,0.31272025139916837,29622.444444444445,16927.111111111113,835.0,0.36808849141472044,False,7.0,529.0
160301,LORETO,LORETO,NAUTA,29079.999999999996,5,118.96198446666185,108.49399279484551,123.20413303162536,0.0,29079.999999999996,23212.666666666664,95.0,0.04779747699905723,False,8.0,334.0
160501,LORETO,REQUENA,REQUENA,25987.0,2,,,,0.0,25987.0,25987.0,94.5,,False,9.0,
250301,UCAYALI,PADRE ABAD,PADRE ABAD,25442.0,4,119.70952918040153,124.3238627211041,139.9156742133135,0.0,25442.0,20569.5,293.5,0.11763550078308271,False,10.0,332.0
160601,LORETO,UCAYALI,CONTAMANA,24837.0,3,,,,0.0,24837.0,24837.0,149.0,,False,11.0,
200206,PIURA,AYABACA,PACAIPAMPA,24689.0,6,136.6616353893856,136.972031683664,156.6685077664478,0.0,24689.0,18807.2,2300.0,0.08892459773383099,False,12.0,226.0
130614,LA LIBERTAD,OTUZCO,USQUIL,26282.0,7,69.41108775576105,63.4130725942176,80.47688932622773,0.11041777642492961,23380.0,0.0,2823.0,0.08663276039329948,False,13.0,748.0
190107,PASCO,PASCO,PAUCARTAMBO,20993.0,4,97.0020485300462,79.6615510230316,124.74537093783653,0.0,20993.0,4312.999999999999,3243.0,0.13513087850590455,False,14.0,484.0
211002,PUNO,SAN ANTONIO DE PUTINA,ANANEA,20690.0,5,88.3145542338368,83.82214111237947,91.21574781122128,0.0,20690.0,0.0,4834.0,0.025511582515233666,False,15.0,560.0
060903,CAJAMARCA,SAN IGNACIO,HUARANGO,20503.0,6,123.81641551779984,115.98026281891786,138.60342382765782,0.0,20503.0,9145.000000000002,918.5,0.06225467887790781,False,16.0,307.0
100801,HUANUCO,PACHITEA,PANAO,19673.0,5,92.03899126223008,84.18686573650129,113.32779978982923,0.0,19673.0,3990.75,3596.0,0.13365129265318132,False,17.0,520.0
160401,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,18984.0,4,4910.10819385199,4901.65478515625,4919.482482642898,0.0,18984.0,18984.0,76.0,0.0009384470642166409,False,18.0,1.0
010205,AMAZONAS,BAGUA,IMAZA,22858.0,7,71.35887826493494,74.97190570165723,84.58333587646484,0.17551841805932278,18846.0,0.0,297.0,0.11185798635233368,False,19.0,725.0
200202,PIURA,AYABACA,FRIAS,22866.0,7,71.53031717208826,73.02459526746577,81.74793197893821,0.18033761917257066,18742.4,0.0,1339.0,0.08534294916289042,False,20.0,723.0
200111,PIURA,PIURA,LAS LOMAS,27000.0,6,75.11981748835245,79.70190286930202,86.68097904750279,0.30766666666666664,18693.0,0.0,354.5,0.09266851547793742,False,21.0,678.0
060904,CAJAMARCA,SAN IGNACIO,LA COIPA,18648.0,6,113.23236929506051,107.83526375663214,122.91354384165926,0.0,18648.0,4268.5,1544.5,0.047875047256950465,False,22.0,368.0
060906,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,18171.0,5,181.70820764209196,150.4625015258789,222.87452303103063,0.0,18171.0,18171.0,1119.0,0.11158348998738377,False,23.0,83.0
060907,CAJAMARCA,SAN IGNACIO,TABACONAS,17672.0,5,140.7563336565787,138.33365200724006,147.8369056437295,0.0,17672.0,17672.0,1611.0,0.02931542521414876,False,24.0,206.0
210404,PUNO,CHUCUITO,KELLUYO,17582.0,4,79.81134734509752,80.03896738924787,83.14825434324833,0.0,17582.0,0.0,3884.5,0.028348627981897523,False,25.0,627.0
