2026-09-06 23:00:34,918 | INFO    | hw02.export            | figura fig1_choropleth_acceso.pdf
2026-09-06 23:00:35,109 | INFO    | hw02.export            | figura fig2_cobertura_acumulada.pdf
2026-09-06 23:00:35,291 | INFO    | hw02.export            | figura fig3_lorenz.pdf
2026-09-06 23:00:35,515 | INFO    | hw02.export            | figura fig4_acceso_vs_altitud.pdf
2026-09-06 23:00:35,688 | INFO    | hw02.export            | figura fig5_mclp_secuencia.pdf
2026-09-06 23:00:35,951 | INFO    | hw02.export            | figura fig6_temporal_cobertura.pdf
2026-09-06 23:00:36,121 | INFO    | hw02.export            | figura fig7_linea_recta_vs_red.pdf
2026-09-06 23:00:36,291 | INFO    | hw02.export            | figura fig8_multimodal.pdf
2026-09-06 23:00:36,394 | INFO    | hw02.export            | tabla tab_cobertura_departamento.tex (1 filas)
2026-09-06 23:00:36,404 | INFO    | hw02.export            | tabla tab_peores_distritos.tex (13 filas)
2026-09-06 23:00:36,410 | INFO    | hw02.export            | tabla tab_urbano_rural.tex (2 filas)
2026-09-06 23:00:36,417 | INFO    | hw02.export            | tabla tab_snapping.tex (2 filas)
2026-09-06 23:00:36,422 | INFO    | hw02.export            | tabla tab_multimodal.tex (2 filas)
2026-09-06 23:00:36,431 | INFO    | hw02.export            | tabla tab_mclp.tex (4 filas)
2026-09-06 23:00:36,436 | INFO    | hw02.export            | tabla tab_temporal.tex (4 filas)
2026-09-06 23:00:36,446 | INFO    | hw02.export            | tabla tab_calidad_datos.tex (11 filas)
2026-09-06 23:00:36,464 | INFO    | hw02.export            | kpis.tex con 43 macros
2026-09-06 23:01:01,065 | INFO    | hw02.export            | figura fig1_choropleth_acceso.png
2026-09-06 23:01:01,201 | INFO    | hw02.export            | figura fig2_cobertura_acumulada.png
2026-09-06 23:01:01,326 | INFO    | hw02.export            | figura fig3_lorenz.png
2026-09-06 23:01:01,441 | INFO    | hw02.export            | figura fig5_mclp_secuencia.png
2026-09-06 23:01:01,567 | INFO    | hw02.export            | figura fig7_linea_recta_vs_red.png
2026-09-06 23:02:26,537 | INFO    | hw02.export            | figura fig1_choropleth_acceso.png
2026-09-06 23:02:26,669 | INFO    | hw02.export            | figura fig2_cobertura_acumulada.png
2026-09-06 23:02:26,790 | INFO    | hw02.export            | figura fig3_lorenz.png
2026-09-06 23:02:26,900 | INFO    | hw02.export            | figura fig5_mclp_secuencia.png
2026-09-06 23:02:27,018 | INFO    | hw02.export            | figura fig7_linea_recta_vs_red.png
2026-09-06 23:02:27,147 | INFO    | hw02.export            | figura fig6_temporal_cobertura.png
2026-09-06 23:02:27,246 | INFO    | hw02.export            | figura fig8_multimodal.png
2026-09-06 23:27:44,711 | INFO    | hw02.export            | figura fig1_choropleth_acceso.pdf
2026-09-06 23:27:44,905 | INFO    | hw02.export            | figura fig2_cobertura_acumulada.pdf
2026-09-06 23:27:45,094 | INFO    | hw02.export            | figura fig3_lorenz.pdf
2026-09-06 23:27:45,309 | INFO    | hw02.export            | figura fig4_acceso_vs_altitud.pdf
2026-09-06 23:27:45,487 | INFO    | hw02.export            | figura fig5_mclp_secuencia.pdf
2026-09-06 23:27:45,771 | INFO    | hw02.export            | figura fig6_temporal_cobertura.pdf
2026-09-06 23:27:45,963 | INFO    | hw02.export            | figura fig7_linea_recta_vs_red.pdf
2026-09-06 23:27:46,130 | INFO    | hw02.export            | figura fig8_multimodal.pdf
2026-09-06 23:27:46,212 | INFO    | hw02.export            | tabla tab_cobertura_departamento.tex (1 filas)
2026-09-06 23:27:46,223 | INFO    | hw02.export            | tabla tab_peores_distritos.tex (13 filas)
2026-09-06 23:27:46,231 | INFO    | hw02.export            | tabla tab_urbano_rural.tex (2 filas)
2026-09-06 23:27:46,238 | INFO    | hw02.export            | tabla tab_snapping.tex (2 filas)
2026-09-06 23:27:46,244 | INFO    | hw02.export            | tabla tab_multimodal.tex (2 filas)
2026-09-06 23:27:46,252 | INFO    | hw02.export            | tabla tab_mclp.tex (4 filas)
2026-09-06 23:27:46,259 | INFO    | hw02.export            | tabla tab_temporal.tex (4 filas)
2026-09-06 23:27:46,268 | INFO    | hw02.export            | tabla tab_calidad_datos.tex (16 filas)
2026-09-06 23:27:46,292 | INFO    | hw02.export            | kpis.tex con 43 macros
2026-09-07 14:21:19,080 | INFO    | hw02.export            | figura fig1_choropleth_acceso.pdf
2026-09-07 14:21:19,378 | INFO    | hw02.export            | figura fig2_cobertura_acumulada.pdf
2026-09-07 14:21:19,653 | INFO    | hw02.export            | figura fig3_lorenz.pdf
2026-09-07 14:21:20,592 | INFO    | hw02.export            | figura fig4_acceso_vs_altitud.pdf
2026-09-07 14:21:20,928 | INFO    | hw02.export            | figura fig5_mclp_secuencia.pdf
2026-09-07 14:21:21,295 | INFO    | hw02.export            | figura fig6_temporal_cobertura.pdf
2026-09-07 14:21:21,575 | INFO    | hw02.export            | figura fig7_linea_recta_vs_red.pdf
2026-09-07 14:21:21,797 | INFO    | hw02.export            | figura fig8_multimodal.pdf
2026-09-07 14:21:21,870 | INFO    | hw02.export            | tabla tab_cobertura_departamento.tex (25 filas)
2026-09-07 14:21:21,879 | INFO    | hw02.export            | tabla tab_peores_distritos.tex (15 filas)
2026-09-07 14:21:21,884 | INFO    | hw02.export            | tabla tab_urbano_rural.tex (6 filas)
2026-09-07 14:21:21,888 | INFO    | hw02.export            | tabla tab_analisis_cruzado.tex (7 filas)
2026-09-07 14:21:21,892 | INFO    | hw02.export            | tabla tab_snapping.tex (2 filas)
2026-09-07 14:21:21,896 | INFO    | hw02.export            | tabla tab_multimodal.tex (2 filas)
2026-09-07 14:21:21,900 | INFO    | hw02.export            | tabla tab_mclp.tex (4 filas)
2026-09-07 14:21:21,905 | INFO    | hw02.export            | tabla tab_temporal.tex (4 filas)
2026-09-07 14:21:21,911 | INFO    | hw02.export            | tabla tab_calidad_datos.tex (16 filas)
2026-09-07 14:21:21,923 | INFO    | hw02.export            | kpis.tex con 43 macros
2026-09-07 23:59:25,571 | INFO    | hw02.export            | figura fig1_choropleth_acceso.pdf
